div_id,old_id,name_n,name_ref,name,addname,role,type
obj752,Obj771,obj752-s-1,ppl:gti,"George Ticknor,",,sender,
obj753,Obj772,753-s-1,ppl:agall,Albert Gallatin,,sender,
obj753,Obj772,obj753-m-1,ppl:eco,Mr Coles [Edward Coles],[Edward Coles],,
obj754,Obj773,obj754-s-1,ppl:jmmason,J. M. Mason,,sender,
obj755,Obj774,obj755-s-1,ppl:dbw,DBW,,sender,
obj755,Obj774,obj755-r-1,ppl:mapictet,Professor Pictet [Marc-Auguste Pictet],[Marc-Auguste Pictet],recipient,
obj755,Obj774,obj755-m-2,ppl:amo,Mr Morris,,,
obj755,Obj774,obj755-on-1,org:org_074,Phil Socs of NY,,,
obj755,Obj774,obj755-on-2,org:org_011,Philadelphia,,,
obj756,Obj775,obj756-s-1,ppl:swalker,Samuel Walker,,sender,
obj757,Obj776,obj757-s-1,ppl:johnmcneill,John McNeill,,sender,
obj758,Obj777,obj758-s-1,ppl:_fisher,Fisher,,sender,
obj758,Obj777,obj758-m-3,ppl:swalker,Walker,,,
obj759,Obj778,obj759-s-1,ppl:dbw,DBW,,sender,
obj759,Obj778,obj759-r-1,ppl:wmacneven,Wm McNeven,,recipient,
obj759,Obj778,obj759-m-4,ppl:amo,Mr Morris,,,
obj759,Obj778,obj759-on-3,org:org_074,Philosophical Soc,,,
obj759,Obj778,obj759-m-5,ppl:farago,Arago,,,
obj759,Obj778,obj759-m-6,ppl:jgaylussac,Gay-Lussac,,,
obj759,Obj778,obj759-m-7,ppl:jocham,John Chambers.,,,
obj759,Obj778,obj759-m-8,,Dr Mason,,,
obj759,Obj778,obj759-m-a999,,Mr B,,,
obj760,Obj779,obj760-s-1,ppl:dbw,DBW,,sender,
obj760,Obj779,obj760-r-1,ppl:tco,Thomas Cooper,,recipient,
obj760,Obj779,obj760-m-9,ppl:famichaux,Mr Michaux,,bearer,
obj760,Obj779,obj760-m-10,ppl:brong,Mr Brogniart,,,
obj760,Obj779,obj760-m-11,ppl:cst,Col. T.,,,
obj761,Obj780,obj761-s-1,ppl:dbw,DBW,,sender,
obj761,Obj780,obj761-r-1,ppl:mrmigneret,Mr. Migneret,,recipient,
obj762,Obj781,obj762-s-1,ppl:slmo,Lady Morgan,,sender,
obj762,Obj781,obj762-m-12,ppl:jamescmont,Mr Montgomery,,bearer,
obj762,Obj781,obj762-m-a999,ppl:cmorgan,Sir Charles,,,
obj762,Obj781,obj762-m-13,ppl:hgreg,Abbe Gregoire,,,
obj763,Obj782,obj763-s-1,ppl:lgjones,Colonel Leslie Grove Jones,,sender,
obj763,Obj782,obj763-m-14,ppl:jbl,Chevalier,,,
obj764,Obj783,obj764-s-1,ppl:epb,Elizabeth Patterson [Bonaparte],,sender,
obj766,Obj785,obj766-s-1,ppl:jgclark,John G. Clark,,sender,
obj767,Obj786,obj767-s-1,ppl:hwilliamson,H. Williamson,,sender,
obj767,Obj786,obj767-on-6,org:org_074,The Lit and Phil Soc of New York,,,
obj768,Obj787,obj768-s-1,ppl:gws,General Scott,,sender,
obj768,Obj787,obj768-m-15,ppl:wcp,William C Preston,,intro,
obj769,Obj788,obj769-s-1,ppl:eco,"Edward Coles,",,sender,
obj769,Obj788,obj769-m-16,ppl:jpboyd,General Boyd,,,
obj769,Obj788,obj769-m-17,,Mr Stewart,,,
obj769,Obj788,obj769-m-a999,ppl:jamescmont,Mr Montgomery,,,
obj770,Obj789,obj770-s-1,ppl:dbw,DBW,,sender,
obj770,Obj789,obj770-r-1,ppl:jgrah,John Graham,,recipient,
obj770,Obj789,obj770-m-18,ppl:jrfenwick,Col. Fenwick,,,
obj770,Obj789,obj770-m-19,ppl:tjefferson,Mr Jefferson,,,
obj770,Obj789,obj770-m-20,ppl:jrfenwick,Col. Fenwick,,,
obj772,Obj791,obj772-s-1,ppl:dbw,DBW,,sender,
obj772,Obj791,obj772-r-1,ppl:hingrah,Henry Ingraham,,recipient,
obj773,Obj792,obj773-s-1,ppl:dbw,DBW,,sender,
obj773,Obj792,obj773-r-1,ppl:tjefferson,Jefferson,,recipient,
obj773,Obj792,obj773-m-21,ppl:gti,Mr Ticknor,,bearer,
obj773,Obj792,obj773-m-22,ppl:bfrank,Franklin,,,
obj773,Obj792,obj773-m-23,ppl:amdr,Abbe Rochon,,,
obj773,Obj792,obj773-m-24,ppl:fjdg,Minister of Marine,,,
obj774,Obj793,obj774-s-1,ppl:flescal,Dr Felix Lescaliis,,sender,
obj774,Obj793,obj774-m-25,ppl:slmi,Dr Mitchell,,,
obj774,Obj793,obj774-m-26,ppl:_dhalle,D’Hallé,,,
obj775,Obj794,obj775-s-1,ppl:labp,Louis-Andre Pichon,,sender,
obj775,Obj794,obj775-m-27,ppl:gti,Mr Ticknor,,,
obj776,Obj795,obj776-s-1,ppl:slmo,Lady Morgan,,sender,
obj776,Obj795,obj776-m-28,ppl:jamescmont,Mr Montgomery,,,
obj776,Obj795,obj776-m-29,ppl:hmwilliams,Helena Williams,,,
obj776,Obj795,obj776-m-30,ppl:humboldt,Baron Humboldt,,,
obj776,Obj795,obj776-m-31,ppl:lordstrangford,Lord Strangford,,,
obj776,Obj795,obj776-m-32,ppl:hgreg,Bishop Gregoire,,,
obj776,Obj795,obj776-m-33,,Montegne,,,
obj777,Obj796,obj777-s-1,ppl:jrkidd,John R. Kidd,,sender,
obj777,Obj796,obj777-m-34,ppl:jvanderlyn,Mr Vanderlini [?],,,
obj777,Obj796,obj777-m-35,ppl:jocham,Chambers,,,
obj778,Obj797,obj778-s-1,ppl:tjefferson,Thomas Jefferson,,sender,
obj778,Obj797,obj778-r-1,ppl:dbw,David Bailie Warden,,recipient,
