name_id,name,note
_bagge,Bagge,
_bartlett,Bartlett,
_bauquelin,Bauquelin,
_beaufacre,Beaufacre,
_bernadet,Bernadet,
_bernicica,Bernicica,
_berthollet,Berthollet,
_billaudvarennes,Billaud-Varennes,
_bossange,Bossange,
_boudrot,Boudrot,
_bouvran,Bouvran,
_bradbury,Bradbury,
_brester,Brester,
_buckfast,Buckfast,
_cabera,Cabera,
_carlos,Carlos,
_carnot,Carnot,
_carroll,Carroll,
_chauffesuer,Chauffesuer,
_clark,Clark,
_crachard,Crachard,
_crockard,Crockard,
_crossewell,Crossewell,
_cunningham,Cunningham,
_custis,Custis,
_dallas,Dallas,
_debeauvais,De Beauvais,
_deberneaud,de Berneaud,
_debondgous,de Bondgous,
_degerado,De Gerado,
_desaintalbin,de Saint-Albin,
_dhalle,D’Hallé,
_dumas,Dumas,
_dumurton,Du Murton,
_dunenir,Dunenir,
_duvallon,Duvallon,
_dvillarme,D'Villarme,
_dwight,Dwight,
_edgar,Edgar,
_featherstonhaugh,Featherstonhaugh,
_fisher,Fisher,
mrfisher,Mr Fisher,
_floureus,Floureus,
_fomina,Fomina,
_fournier,Fournier,
_frank,Frank,
_gallinoli,Gallinioli,
_gambart,Gambart,
_gerardlableau,Gerard-lableau,
_godoy,Godoy,
_gomez,Gomez,
_gowan,Gowan,
_hancock,Hancock,
_henderson,Henderson,
_hereau,Hereau,
_holt,Holt,
_juarros,Juarros,
_jubringen,Jubringen,
_keever,Keever,
_lacioux,Lacioux,
_lamon,Lamon,
_lavey,Lavey,
_legendre,Legendre,
_lemore,Lemore,
_lumley,Lumley,
_macphail,MacPhail,
_magimel,Magimel,
_maile,Maile,
_malaspina,Malaspina,
_mame,Mame,
_martin,Martin,
_maury,Maury,
_maxime,Maxime,
_mcguignonmarres,Mcguignon-Marres,
_mcmannony,McMannony,
_melist,Melist,
_mendizabal,Mendizabal,
_meyer,Meyer,
_mill,Mill,
_molart,Molart,
_monnier,Monnier,
_morrison,Morrison,
_moulin,Moulin,
_netron,Netron,
_noyet,Noyet,
_pinckney,Pinckney,
_plowden,Plowden,
_puttand,Puttand,
_quilez,Quilez,
_razait,Razait,
_rossier,Rossier,
_rousseau,Rousseau,
_savigun,Savigun,
_simpson,Simpson,
_strong,Strong,
_swediour,Swediour,
_sweetman,Sweetman,
_tapellex,Tapellex,
_tardieu,Tardieu,
_thirard,Thirard,
_thouin,Thouin,
_treattel,Treattel,
_venables,Venables,
_vevey,Vevey,
_vilnier,Vilnier,
_wallam,Wallam,
_wallaston,Wallaston,
_wardman,Wardman,
_william,William,
_yates,Yates,
ablogniad,Mr A Blogniad,
abridgen,Anna Bridgen,"Anna Bridgen and her husband John Bridgen were well-connected residents of De Witt, New York. Mrs Bridgen is famous for expressing critical opinions of John Jacob Astor: ‘Others who encountered Astor socially found him to be “one of the most wretched men,” displeased with his daughters, and obsessed with the granddaughter by his estranged daughter Mrs Langdon. There was something about Astor which made New Yorkers uneasy, and it was not only his table manners or money that disturbed them’ (Eric Homberger, Mrs Astor New York: Money and Social Power in a Gilded Age (New Haven: Yale, 1994), 309n."
acdrc,Alexandrine Charlotte De Rohan-Chabot,"Alexandrine Charlotte De Rohan-Chabot (1763-1839), duchess de Rochefoucault, lover of the U.S. diplomat and friend of both Jefferson and Warden, William Short: https://en.wikipedia.org/wiki/Alexandrine_Charlotte_de_Rohan-Chabot. For the correspondence see Marie Goebel Kimball, ‘William Short, Jefferson’s Only “Son”’, North American Review (1926), pp. 471-486: https://www.unz.com/print/NorthAmericanRev-1926q3-00471/?View=PDF&apages=0099"
achabot,A Chabot,"A Chabot is mentioned as Grégoire’s general vicar in Blois, who was defrocked: https://journals.openedition.org/chrhc/1676"
aconst,Archibald Constable,
acoray,Adamantios Coray,Adamantios Coray (Korais) (1748-1833): https://www.oxfordreference.com/view/10.1093/oi/authority.20110803095638507
acoventry,A. Coventry,
acsouthwick,Arthur C. Southwick,"Arthur C. Southwick, examiner in Chancery"
acu,Amelia Curran,"Amelia Curran (1775–1847), Artist; friend and painter of Percy Shelley; daughter of John Philpott Curran MP and sister of Sarah Curran who was engaged to Robert Emmet. Sarah Curran was immortalized in Washington Irving’s ‘The Broken Heart’ as well as Thomas Moore’s ‘Oh Breathe Not His Name’ and Lalla Rookh."
acuvier,Anne Cuvier,
adavezac,Auguste Davezac,Auguste Davezac: https://en.wikipedia.org/wiki/Auguste_Davezac
adbache,Alexander Dallas Bache,"Alexander Dallas Bache (July 19, 1806 – February 17, 1867) was an American physicist, scientist, and surveyor who erected coastal fortifications and conducted a detailed survey to map the mideastern United States coastline. He was President of Girard College. Originally an army engineer, he later became Superintendent of the U.S. Coast Survey , and built it into the foremost scientific institution in the country before the Civil War : https://en.wikipedia.org/wiki/Alexander_Dallas_Bache"
aditurbide,Agustín de Iturbide,Agustín de Iturbide: https://en.wikipedia.org/wiki/Agust%C3%ADn_de_Iturbide
admorgan,Augustus De Morgan,"Augustus De Morgan (1806-1871) was a British mathematician and logician . He formulated De Morgan's laws and introduced the term mathematical induction , making its idea rigorous: https://en.wikipedia.org/wiki/Augustus_De_Morgan"
adoran,Arthur Doran,
aesabio,Alonzo el Sabio,
aeustis,Abraham Eustis,"Possibly Abraham Eustis (1786-1843), lawyer and U.S Army Brigadier General: https://en.wikipedia.org/wiki/Abraham_Eustis"
agall,Albert Gallatin,
agnesbiddle,Agnes Biddle,
