place_id,name_cln,text,unknown_uncertain,geog_name,address,settlement,region,country,continent,modern_french_region,name_n_ids
place_001,Aix,Aix,,,,Aix-en-Provence,Bouches-du-Rhone,France,,Provence-Alpes-Cote d'Azur,obj807-pl-94
place_002,Alabama,Alabama,,,,,Alabama,United States of America,,,obj1330-pl-41
place_003,Albany,Albany,,,,Albany,New York state,United States of America,,,obj1278-pl-807 || obj1340-pl-58 || obj1361-pl-86 || obj1444-pl-215 || obj1515-pl-356 || obj1532-pl-409 || obj1629-pl-584 || obj1649-pl-609 || obj1651-pl-613 || obj1660-pl-630 || obj1660-pl-632 || obj1662-pl-640 || obj1662-pl-647 || obj1719-pl-734 || obj1728-pl-750 || obj1731-pl-754 || obj1746-pl-773 || obj1754-pl-787 || obj1764-pl-813 || obj1766-pl-816 || obj1771-pl-829 || obj1774-pl-837 || obj1776-pl-841 || obj1781-pl-846 || obj1782-pl-848 || obj1784-pl-853
place_004,Algiers,Algiers,,,,Algiers,,Algeria,,,obj1862-pl-939
place_005,America,America,,,,,,United States of America,,,obj763-pl-17 || obj801-pl-81 || obj802-pl-83 || obj804-pl-86 || obj842-pl-136 || obj846-pl-139 || obj861-pl-168 || obj897-pl-215 || obj899-pl-219 || obj902-pl-228 || obj908-pl-234 || obj909-pl-244 || obj935-pl-264 || obj951-pl-287 || obj952-pl-300 || obj952-pl-302 || obj969-pl-327 || obj991-pl-356 || obj1004-pl-375 || obj1017-pl-390 || obj1041-pl-425 || obj1137-pl-588 || obj1174-pl-648 || obj1200-pl-680 || obj1215-pl-704 || obj1248-pl-737 || obj1252-pl-744 || obj1259-pl-764 || obj1295-pl-839 || obj1318-pl-18 || obj1422-pl-173 || obj1423-pl-176 || obj1492-pl-314 || obj1495-pl-324 || obj1569-pl-486 || obj1628-pl-581 || obj1644-pl-597 || obj1670-pl-665 || obj1723-pl-743 || obj1760-pl-807 || obj1812-pl-867 || obj1825-pl-875 || obj1834-pl-893
place_006,Amsterdam,Amsterdam,,,,Amsterdam,,Netherlands,,,obj895-pl-208 || obj897-pl-217 || obj1032-pl-411 || obj1602-pl-545
place_007,Andalucia,Andalucia,,,,,Andalucia,Spain,,,obj1528-pl-386
place_008,Armagh,Armagh,,,,Armagh,Armagh,Ireland,,,obj1555-pl-455
place_009,Asia,Asia,,,,,,,Asia,,obj1670-pl-666
place_010,Augusta,Augusta,,,,Augusta,Georgia,United States of America,,,obj1546-pl-439
place_011,Austria,Austria,,,,,,Austria,,,obj1588-pl-517
place_012,Baltimore,[Baltimore?],,,,Baltimore,Maryland,United States of America,,,obj837-pl-126
place_013,Baltimore,Baltimore,,,,Baltimore,Maryland,United States of America,,,obj813-pl-100 || obj813-pl-101 || obj815-pl-103 || obj832-pl-112 || obj834-pl-114 || obj835-pl-116 || obj836-pl-119 || obj853-pl-151 || obj853-pl-156 || obj895-pl-212 || obj948-pl-281 || obj951-pl-289 || obj963-pl-315 || obj994-pl-360 || obj994-pl-361 || obj1070-pl-460 || obj1105-pl-526 || obj1184-pl-659 || obj1194-pl-676 || obj1215-pl-702 || obj1233-pl-716 || obj1237-pl-723 || obj1268-pl-785 || obj1282-pl-816 || obj1336-pl-57 || obj1382-pl-113 || obj1383-pl-118 || obj1452-pl-238 || obj1454-pl-244 || obj1457-pl-249 || obj1512-pl-348 || obj1534-pl-416 || obj1542-pl-430 || obj1547-pl-448 || obj1575-pl-499 || obj1628-pl-579 || obj1733-pl-756
place_014,Banisleu,Banisleu,Banisleu,,,,,France,,,obj910-pl-247
place_015,Barcelona,Barcelona,,,,Barcelona,,Spain,,,obj1664-pl-653
place_016,Bas Rhin,Bas Rhin,,,,,Bas-Rhin,France,,Grand Est,obj1827-pl-883
place_017,Bath,Bath,,,,Bath,Somerset,England,,,obj1137-pl-576
place_018,Bealey Beach,Bealey Beach [?],Bealey Beach,,,,,,,,obj1750-pl-782
place_019,Belfast,Belfast,,,,Belfast,Antrim,Ireland,,,obj1078-pl-469 || obj1299-pl-843 || obj1299-pl-844 || obj1556-pl-457 || obj1730-pl-752 || obj1736-pl-762 || obj1750-pl-781 || obj1770-pl-824
place_020,"Wellington Place, Belfast","11 Wellington Place, Belfast",,,Wellington Place,Belfast,Antrim,Ireland,,,obj1624-pl-569
place_021,Berlin,Berlin,,,,Berlin,,Germany,,,obj1271-pl-791 || obj1271-pl-794 || obj1271-pl-796 || obj1478-pl-298 || obj1481-pl-306 || obj1490-pl-310 || obj1567-pl-478 || obj1567-pl-480 || obj1578-pl-505 || obj1602-pl-543 || obj1614-pl-557
place_022,Besançon,Besançon,,,,Besançon,Doubs,France,,Bourgogne-France-Comte,obj1826-pl-878
place_023,Birmingham,Birmingham,,,,Birmingham,Warwickshire,England,,,obj950-pl-283
place_024,Bordeaux,Bordeaux,,,,Bordeaux,Gironde,France,,Nouvelle-Aquitaine,obj877-pl-189 || obj892-pl-201 || obj911-pl-248 || obj1044-pl-436
place_025,Boston,Boston,,,,Boston,Massachusetts,United States of America,,,obj833-pl-113 || obj864-pl-173 || obj864-pl-174 || obj1040-pl-419 || obj1043-pl-430 || obj1050-pl-443 || obj1110-pl-531 || obj1141-pl-594 || obj1153-pl-619 || obj1166-pl-633 || obj1166-pl-634 || obj1168-pl-637 || obj1174-pl-647 || obj1185-pl-662 || obj1205-pl-687 || obj1206-pl-690 || obj1210-pl-695 || obj1211-pl-696 || obj1211-pl-697 || obj1243-pl-732 || obj1275-pl-802 || obj1284-pl-819 || obj1285-pl-821 || obj1315-pl-12 || obj1344-pl-60 || obj1345-pl-63 || obj1353-pl-72 || obj1353-pl-75 || obj1364-pl-90 || obj1365-pl-92 || obj1365-pl-93 || obj1366-pl-95 || obj1371-pl-99 || obj1371-pl-100 || obj1445-pl-223 || obj1493-pl-320 || obj1493-pl-321 || obj1501-pl-331 || obj1502-pl-333 || obj1503-pl-334 || obj1520-pl-368 || obj1644-pl-598 || obj1646-pl-605 || obj1657-pl-628 || obj1661-pl-638 || obj1666-pl-657 || obj1669-pl-661 || obj1694-pl-699 || obj1694-pl-700 || obj1699-pl-707 || obj1735-pl-761 || obj1740-pl-766 || obj1757-pl-794 || obj1758-pl-799 || obj1758-pl-800 || obj1758-pl-801 || obj1759-pl-803 || obj1760-pl-809 || obj1857-pl-935 || obj1870-pl-946
place_026,Boulevd. Des Invalides,Boulevd. Des Invalides,,,Boulevard des Invalides,Paris,Paris,France,,,obj905-pl-231
place_027,Boulevard St Martin,Boulevard St Martin,,,Boulevard St Martin,Paris,Paris,France,,,obj1380-pl-111
place_028,Brasil,Brasil,,,,,,Brasil,,,obj1108-pl-528 || obj1477-pl-292 || obj1891-pl-955
place_029,Brighton,Brighton,,,,Brighton,Sussex,England,,,obj1137-pl-582
place_030,Bristol,Bristol,Bristol,,,,,,,,obj839-pl-132
place_031,Bristol,Bristol,,,,Bristol,Bristol,England,,,obj1137-pl-585
place_032,Britain,Britain,,,,,,Britain,,,obj952-pl-301 || obj1098-pl-504 || obj1259-pl-769
