name_d_id,short_name
ppl:ablogniad,ablogniad
ppl:abridgen,abridgen
ppl:acdrc,acderohanchabot
ppl:achabot,achabot
ppl:aconst,aconstable
ppl:acoray,acoray
ppl:acoventry,acoventry
ppl:acsouthwick,acsouthwick
ppl:acu,acurran
ppl:acuvier,acuvier
ppl:adavezac,adavezac
ppl:adbache,adbache
ppl:aditurbide,adeiturbide
ppl:admorgan,ademorgan
ppl:adoran,adoran
ppl:aesabio,aesabio
ppl:aeustis,aeustis
ppl:agall,agallatin
ppl:agnesbiddle,agnesbiddle
ppl:ags,agsmith
ppl:agthompson,agthompson
ppl:ajackson,ajackson
ppl:ajr,ajrrademaker
ppl:akourakin,akourakin
ppl:alcdestutt,alcdestutt
ppl:alhillhouse,alhillhouse
ppl:alsmain,alsmain
ppl:alwilson,alwilson
ppl:alyle,alyle
ppl:amdj,amdejonnes
ppl:amdr,amderochon
ppl:amo,amorris
ppl:amontmorency,amontmorency
ppl:anb,anbrown
ppl:annbiddle,annbiddle
ppl:annelee,annelee
ppl:apor,aporter
ppl:arthompson,arthompson
ppl:astevens,astevens
ppl:atocqueville,adetocqueville
ppl:avail,avail
ppl:avivien,avivien
ppl:awalker,awalker
ppl:awclason,awclason
ppl:_bagge,bagge
ppl:bagould,bagould
ppl:baronlaincy,baronlaincy
ppl:baronlumey,baronlumey
ppl:baronvonhammer,baronvonhammer
ppl:_bartlett,bartlett
ppl:_bauquelin,bauquelin
ppl:bboisge,missboisgerard
ppl:bcon,bconstant
ppl:bdf,bdeferussac
ppl:bdpusis,bdepusiser
ppl:_beaufacre,beaufacre
ppl:benjsilliman,benjsilliman
ppl:_bernadet,bernadet
ppl:_bernicica,bernicica
ppl:_berthollet,berthollet
ppl:bffrench,bffrench
ppl:bfpeale,bfpeale
ppl:bfrank,bfranklin
ppl:bgdlacepede,bgdlacepede
ppl:bhasgills,bhasgills
ppl:bhenry,bhenry
ppl:bhol,bholmes
ppl:_billaudvarennes,billaudvarennes
ppl:birvin,birvine
ppl:blawrence,blawrence
ppl:blgrange,blagrange
ppl:bme,bmemerigon
ppl:bmitch,bmitchell
ppl:bnbyrne,bnbyrne
ppl:bom,bomeara
ppl:_bossange,bossange
ppl:_boudrot,boudrot
ppl:_bouvran,bouvran
ppl:bpeirce,bpeirce
ppl:bpierce,bpierce
ppl:bppoore,bppoore
ppl:_bradbury,bradbury
ppl:brcdl,brcdelarcy
ppl:_brester,brester
ppl:brong,mrbrongniart
ppl:brwood,brwood
ppl:bsbarton,bsbarton
ppl:bsbernard,bsbernard
ppl:bsmith,bsmith
ppl:bst,bstricht
ppl:_buckfast,buckfast
ppl:bwrichards,bwrichards
ppl:byron,byron
ppl:_cabera,cabera
ppl:cahbrooks,cahbrooks
ppl:calcope,calcope
ppl:calesueur,calesueur
ppl:captartoun,captartoun
ppl:captcorrie,captcorrie
ppl:capthawkins,capthawkins
ppl:captmaran,captmaran
ppl:captrockett,captrockett
ppl:captwatkins,captwatkins
ppl:captwilkins,captwilkins
ppl:_carlos,carlos
ppl:_carnot,carnot
ppl:_carroll,carroll
ppl:cathwheaton,cathwheaton
ppl:caw,cawalckenaer
ppl:cbolton,cbolton
ppl:cbotta,cbotta
ppl:cbrush,cbrush
ppl:ccarroll,ccarroll
ppl:ccarter,ccarter
ppl:ccbarreto,jfdecbarreto
ppl:ccharper,ccharper
ppl:ccjamison,ccjamison
ppl:ccoquerel,ccoquerel
ppl:cdc,cdcolden
ppl:cdsc,cdestc
ppl:cdu,cdupin
ppl:ceanderson,ceanderson
ppl:cebertrand,cebertrand
ppl:cecdm,cecdemontbret
